Issue name,Severity,Path,Domain,Project,Branch,Status,Deep link,Related to
" Use of 32-bit time_t"," high"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/recipe-sysroot/usr/include/c++/10.3.0/chrono"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/2c08521a-ad5d-4aad-9e98-26a8c2dcfadb/issues/096870c75a220af095de5e15f33942a64987b2a882cd1ee03d83cceb0fc377be"," 2020 CWE On the Cusp"
" Dereference null return value"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-bluez-monitor.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/1824d376b7af41e47cea066ede3dc3c6aab2d8a2ba85c2db7edf46fd7783be1e"," PCI DSS 2018, 2021 CWE Top 25"
" Unchecked return value"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-api-v2.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/2b3a66d624d7aa496cf05b9735c9dc25437ef737bf1643d09ecebbb211972f14"," 2021 OWASP Top 10, PCI DSS 2018"
" Explicit null dereferenced"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/recipe-sysroot/usr/include/QtCore/qmap.h"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/39249f87d2edcea72246bb9903b95117d6206fe7399fa79c5a0de6a97e28f996"," PCI DSS 2018, 2021 CWE Top 25"
" Parse warning"," low"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/MediaVirtualDevice.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/68af20da-d1c6-4d13-94bc-b4871ef2c7d1/issues/3a87c963f9ad6969c364e0041e8ecf58f61ea0b9334ef07d1580d0338c11a6a6"," No Related Standards"
" Uninitialized scalar field"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-hfp-ag-thread.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/3ed2bbd509583ceda34fbf403e14e838f97ef4bbc8a4087cb7c608b919bb970a"," No Related Standards"
" Uninitialized pointer field"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/recipe-sysroot/usr/include/c++/10.3.0/bits/std_function.h"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/2c08521a-ad5d-4aad-9e98-26a8c2dcfadb/issues/445dcbd6d04a13f119b999f76d7f591369e6044868598da6c783e5d516620ebf"," No Related Standards"
" Uninitialized pointer field"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-hfp-ag.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/463d1fcedaacb1358368f3b1fa9612c3999672e9e5e2910ae06e343979b99ef3"," No Related Standards"
" Recursion in included headers"," low"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/include/polaris-bluetooth-api-v2-device.hpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/49cf98e4ef2392f996b8f3fad807ddf74b3a8b9425bc5b11cb53e095410cbb13"," No Related Standards"
" Uninitialized scalar field"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-debuglogger.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/4c16442b85b217aedec360d3094c2abbf2c844ba7d16d625aa928c9a5541b826"," No Related Standards"
" Uninitialized pointer field"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/include/polaris-bluetooth-bluez-monitor-structs.hpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/5d377caed29243d70197e2c25148566ca2120e89430fe88620e875d253d35633"," No Related Standards"
" Uninitialized scalar field"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-thread-controller.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/5d3a58bf7a26a1f259d995a792cbcd87d6078378f312efbec44e069ae05d1a51"," No Related Standards"
" Uninitialized scalar field"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-sco-reader.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/6dfb9e47b10ad14ab4e128e2520da5c9776892539e3cba446f518da827a62e41"," No Related Standards"
" Lossy integer to pointer"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/6fc9eef10d4c4421c810e8f05667d6c41b213af43a8ebba167e1af5b381de9ea"," 2020 CWE On the Cusp"
" Unused value"," low"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-bluez-monitor.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/798e214353c766ab4567ac404b9f1130e42a4f888fd9fe9a68b64902975c65dc"," No Related Standards"
